condition,Kinase,n_peptides,n_pairs,mean_diff,statistic,effect_size,p_value,p_adjusted,source_file
Neg15m_NegCTL,SGK,23,69,-0.3402598516550068,191,0.07908902691511387,1.242898193724321e-9,3.551137696355203e-9,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,CAMK1,19,57,-0.4070095282130607,63,0.038112522686025406,1.3427730155896786e-9,3.7042014223163553e-9,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,DYRK,27,81,-0.27149399694275667,365,0.10990665462210178,1.7774241883483169e-9,4.739797835595511e-9,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,PLK,22,66,-0.3460074559829125,194,0.0877431026684758,5.900908892572395e-9,1.5228151980831986e-8,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,DAPK,18,54,-0.3399619617522152,83,0.05589225589225589,2.2068886903624278e-8,5.517221725906069e-8,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,JNK,24,72,-0.2479619780414291,356,0.1354642313546423,7.735294754882743e-8,1.875222970880665e-7,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,MTOR,16,48,-0.27732857550070344,80,0.06802721088435375,1.9379127586349592e-7,4.559794726199904e-7,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,NEK,15,45,-0.33061890652303266,66,0.06376811594202898,3.5677076665929107e-7,8.154760380783795e-7,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,MLK,13,39,-0.3212818224098227,45,0.057692307692307696,1.5283187775960961e-6,3.396263950213547e-6,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,PKCD,11,33,-0.40824207343647145,20,0.035650623885918005,3.390310282164528e-6,7.330400610085466e-6,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,MST,16,48,-0.20935611088622724,133,0.1130952380952381,5.223145506352236e-6,1.0996095802846812e-5,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,GSK,12,36,-0.33452463320338727,44,0.06606606606606606,5.828943673076519e-6,1.1956807534515935e-5,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,RAF,14,42,-0.2928041233704543,92,0.10188261351052048,7.162036781210804e-6,1.4324073562421608e-5,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,AUR,9,27,-0.3660028860628287,4,0.010582010582010581,9.309817688408095e-6,1.7847756347619308e-5,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,PKCI,11,33,-0.31651956866585584,32,0.0570409982174688,9.370072082500137e-6,1.7847756347619308e-5,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,PKCH,13,39,-0.2764653146496509,77,0.09871794871794871,1.295067433513638e-5,2.4094277832811868e-5,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,FRAY,11,33,-0.27589098249654526,41,0.07308377896613191,1.9511292646423835e-5,3.5475077538952427e-5,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,CHK1,10,30,-0.34374254989135344,26,0.05591397849462366,3.62713654859399e-5,6.448242753055982e-5,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,GRK,8,24,-0.39148775764826615,16,0.05333333333333334,1.3657738543896262e-4,2.3752588771993498e-4,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,PRKDC,7,21,-0.3391407318783316,7,0.030303030303030304,1.7415564105844014e-4,2.902594017640669e-4,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,ATR,7,21,-0.38970650989611644,7,0.030303030303030304,1.7415564105844014e-4,2.902594017640669e-4,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,CAMK2,13,39,-0.2844172207034516,132,0.16923076923076924,3.2637595374361165e-4,5.328586999895701e-4,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,IRAK,9,27,-0.255881822140956,54,0.14285714285714285,0.002118082651743454,0.003388932242789527,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,NDR,4,12,-0.3452931530794843,1,0.01282051282051282,0.0032637169016702335,0.005119555924188602,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,STE11,5,15,-0.3392165785748352,12,0.1,0.006979543813140597,0.010737759712523996,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
