Kinase,lfc,condition,biologically_meaningful
PKCI,0.1765148632255761,Neg4h_NegCTL,FALSE
PKD,0.1765148632255761,Neg4h_NegCTL,FALSE
PKG,0.1965341836838405,Neg4h_NegCTL,FALSE
PKN,-0.12744374007954562,Neg4h_NegCTL,FALSE
PLK,0.02400131196717906,Neg4h_NegCTL,FALSE
PRKDC,-0.01026681376925136,Neg4h_NegCTL,FALSE
QIK,0.02400131196717906,Neg4h_NegCTL,FALSE
RAD53,0.07719324773936562,Neg4h_NegCTL,FALSE
RAF,-0.01638165701769888,Neg4h_NegCTL,FALSE
RIPK,0.17073974944545167,Neg4h_NegCTL,FALSE
RSK,0.09782049598038758,Neg4h_NegCTL,FALSE
SGK,0.01161101820034606,Neg4h_NegCTL,FALSE
SLK,-0.2738483502920131,Neg4h_NegCTL,TRUE
STE11,-0.1921875641557905,Neg4h_NegCTL,FALSE
STE7,0.012057368266702161,Neg4h_NegCTL,FALSE
STKR,0.03777014425106718,Neg4h_NegCTL,FALSE
SYK,-0.04207257206780657,Neg4h_NegCTL,FALSE
TAO,0.02812007410934867,Neg4h_NegCTL,FALSE
TEC,-0.04207257206780657,Neg4h_NegCTL,FALSE
VEGFR,-0.04207257206780657,Neg4h_NegCTL,FALSE
VRK1,-0.13225168591134384,Neg4h_NegCTL,FALSE
VRK2,0.02400131196717906,Neg4h_NegCTL,FALSE
AKT,0.31549153828479826,Pos15m_PosCTL,TRUE
AMPK,0.6290594501622733,Pos15m_PosCTL,TRUE
ATM,0.8533786770993815,Pos15m_PosCTL,TRUE
ATR,0.20789907091370408,Pos15m_PosCTL,TRUE
AUR,0.20523018257265707,Pos15m_PosCTL,TRUE
AXL,0.3752765749954842,Pos15m_PosCTL,TRUE
BARK1,0.23441999477422282,Pos15m_PosCTL,TRUE
BARK2,0.28125913017861526,Pos15m_PosCTL,TRUE
BRSK,0.03586870935376322,Pos15m_PosCTL,FALSE
CAMK1,0.7068309135317978,Pos15m_PosCTL,TRUE
CAMK2,0.5017269236276979,Pos15m_PosCTL,TRUE
CDK,0.20872731131235744,Pos15m_PosCTL,TRUE
CHK1,0.31812014569089325,Pos15m_PosCTL,TRUE
CK1,0.29761989412740997,Pos15m_PosCTL,TRUE
CK2,0.4591327091476095,Pos15m_PosCTL,TRUE
COT,0.20543042339094136,Pos15m_PosCTL,TRUE
CSK,0.3752765749954842,Pos15m_PosCTL,TRUE
DAPK,0.2720627674845121,Pos15m_PosCTL,TRUE
DMPK,0.2721383689503594,Pos15m_PosCTL,TRUE
DYRK,0.09627572963286957,Pos15m_PosCTL,FALSE
EGFR,0.3752765749954842,Pos15m_PosCTL,TRUE
ERK,0.10040594009760512,Pos15m_PosCTL,FALSE
FRAY,0.15689291966183855,Pos15m_PosCTL,FALSE
GRK,0.5312809275979954,Pos15m_PosCTL,TRUE
GSK,0.05539178789961539,Pos15m_PosCTL,FALSE
HAL,0.6844126575794677,Pos15m_PosCTL,TRUE
IKK,0.3089177142474936,Pos15m_PosCTL,TRUE
IRAK,0.05539178789961539,Pos15m_PosCTL,FALSE
JNK,0.15225541865135145,Pos15m_PosCTL,FALSE
KHS,0.25828812384677224,Pos15m_PosCTL,TRUE
LKB,0.0537237051705528,Pos15m_PosCTL,FALSE
MAPKAPK,0.2836029190471329,Pos15m_PosCTL,TRUE
MARK,0.25828812384677224,Pos15m_PosCTL,TRUE
MELK,0.18724168536174624,Pos15m_PosCTL,FALSE
MLCK,0.10567807719699474,Pos15m_PosCTL,FALSE
MLK,0.20686585823028603,Pos15m_PosCTL,TRUE
MSN,0.409521192169901,Pos15m_PosCTL,TRUE
MST,0.20729187647301278,Pos15m_PosCTL,TRUE
MTOR,0.07910936346869443,Pos15m_PosCTL,FALSE
NAK,0.3557309416641929,Pos15m_PosCTL,TRUE
NDR,0.47154891718655045,Pos15m_PosCTL,TRUE
NEK,0.232066440615142,Pos15m_PosCTL,TRUE
NMO,0.00248757162366538,Pos15m_PosCTL,FALSE
P38,0.1775147857456713,Pos15m_PosCTL,FALSE
PAKA,0.7068309135317978,Pos15m_PosCTL,TRUE
PAKB,0.31609643241968444,Pos15m_PosCTL,TRUE
PASK,1.0172062823714587,Pos15m_PosCTL,TRUE
PDGFR,0.3752765749954842,Pos15m_PosCTL,TRUE
PDHK,0.3912466915563102,Pos15m_PosCTL,TRUE
PDK1,0.20915332955508423,Pos15m_PosCTL,TRUE
PEK,0.232066440615142,Pos15m_PosCTL,TRUE
PHK,0.2721005682174358,Pos15m_PosCTL,TRUE
PIM,0.2768418878251553,Pos15m_PosCTL,TRUE
PKA,0.5229488394809487,Pos15m_PosCTL,TRUE
PKCA,0.26517544566564216,Pos15m_PosCTL,TRUE
PKCD,0.8415172078377189,Pos15m_PosCTL,TRUE
PKCH,0.10684849207542231,Pos15m_PosCTL,FALSE
PKCI,0.5667966774901126,Pos15m_PosCTL,TRUE
PKD,0.7068309135317978,Pos15m_PosCTL,TRUE
PKG,0.6071820599028234,Pos15m_PosCTL,TRUE
PKN,0.2720627674845121,Pos15m_PosCTL,TRUE
PLK,0.1963360543763438,Pos15m_PosCTL,FALSE
PRKDC,0.19819750745841525,Pos15m_PosCTL,FALSE
QIK,0.22372452671780532,Pos15m_PosCTL,TRUE
RAD53,0.3678400778479606,Pos15m_PosCTL,TRUE
RAF,0.1729990450910493,Pos15m_PosCTL,FALSE
RIPK,0.6071820599028234,Pos15m_PosCTL,TRUE
RSK,0.33889815199314793,Pos15m_PosCTL,TRUE
SGK,0.29761989412740997,Pos15m_PosCTL,TRUE
SLK,0.30172786858497097,Pos15m_PosCTL,TRUE
STE11,0.2143697046101701,Pos15m_PosCTL,TRUE
STE7,0.20915332955508423,Pos15m_PosCTL,TRUE
STKR,0.3557309416641929,Pos15m_PosCTL,TRUE
SYK,0.3752765749954842,Pos15m_PosCTL,TRUE
TAO,0.517314515754831,Pos15m_PosCTL,TRUE
TEC,0.3752765749954842,Pos15m_PosCTL,TRUE
VEGFR,0.3752765749954842,Pos15m_PosCTL,TRUE
VRK1,0.0537237051705528,Pos15m_PosCTL,FALSE
VRK2,0.23441999477422282,Pos15m_PosCTL,TRUE
AKT,0.37002755446113733,Pos30m_PosCTL,TRUE
AMPK,0.5927529522141823,Pos30m_PosCTL,TRUE
ATM,0.8148875158257655,Pos30m_PosCTL,TRUE
ATR,0.2269416542930089,Pos30m_PosCTL,TRUE
AUR,0.2093439938875504,Pos30m_PosCTL,TRUE
AXL,0.3449703926220293,Pos30m_PosCTL,TRUE
BARK1,0.2941841211268185,Pos30m_PosCTL,TRUE
BARK2,0.29778604031990946,Pos30m_PosCTL,TRUE
BRSK,0.1900109736314848,Pos30m_PosCTL,FALSE
CAMK1,0.697654005147708,Pos30m_PosCTL,TRUE
CAMK2,0.545298061104368,Pos30m_PosCTL,TRUE
CDK,0.22629212798698597,Pos30m_PosCTL,TRUE
CHK1,0.44198509487430215,Pos30m_PosCTL,TRUE
CK1,0.3436215229675633,Pos30m_PosCTL,TRUE
CK2,0.48195675248614817,Pos30m_PosCTL,TRUE
COT,0.3515417354803819,Pos30m_PosCTL,TRUE
CSK,0.3449703926220293,Pos30m_PosCTL,TRUE
DAPK,0.3515417354803819,Pos30m_PosCTL,TRUE
DMPK,0.3515417354803819,Pos30m_PosCTL,TRUE
DYRK,0.19789110444744784,Pos30m_PosCTL,FALSE
EGFR,0.3449703926220293,Pos30m_PosCTL,TRUE
ERK,0.19178163195400533,Pos30m_PosCTL,FALSE
FRAY,0.2627696919937176,Pos30m_PosCTL,TRUE
GRK,0.5954742210859411,Pos30m_PosCTL,TRUE
GSK,0.19250058832666755,Pos30m_PosCTL,FALSE
HAL,0.6909092333379694,Pos30m_PosCTL,TRUE
IKK,0.3515417354803819,Pos30m_PosCTL,TRUE
IRAK,0.21047729546759028,Pos30m_PosCTL,TRUE
JNK,0.21047729546759028,Pos30m_PosCTL,TRUE
KHS,0.2720143429726797,Pos30m_PosCTL,TRUE
LKB,0.16841304288225817,Pos30m_PosCTL,FALSE
MAPKAPK,0.32629351380029714,Pos30m_PosCTL,TRUE
MARK,0.2720143429726797,Pos30m_PosCTL,TRUE
MELK,0.29037268732297683,Pos30m_PosCTL,TRUE
MLCK,0.1971063590415956,Pos30m_PosCTL,FALSE
MLK,0.30107171174908576,Pos30m_PosCTL,TRUE
MSN,0.6039995677552785,Pos30m_PosCTL,TRUE
MST,0.26739201748319863,Pos30m_PosCTL,TRUE
MTOR,0.21331775250281088,Pos30m_PosCTL,TRUE
NAK,0.49329443702417414,Pos30m_PosCTL,TRUE
NDR,0.4857132900696941,Pos30m_PosCTL,TRUE
NEK,0.3906757527244302,Pos30m_PosCTL,TRUE
NMO,0.19106267558134307,Pos30m_PosCTL,FALSE
P38,0.21320678414253658,Pos30m_PosCTL,TRUE
PAKA,0.697654005147708,Pos30m_PosCTL,TRUE
PAKB,0.3846193152987715,Pos30m_PosCTL,TRUE
PASK,0.9792582373218484,Pos30m_PosCTL,TRUE
PDGFR,0.3449703926220293,Pos30m_PosCTL,TRUE
PDHK,0.4554956660706676,Pos30m_PosCTL,TRUE
PDK1,0.23717788876709928,Pos30m_PosCTL,TRUE
PEK,0.2979955549306602,Pos30m_PosCTL,TRUE
PHK,0.34209665437278725,Pos30m_PosCTL,TRUE
PIM,0.382523532322097,Pos30m_PosCTL,TRUE
PKA,0.5759888284001886,Pos30m_PosCTL,TRUE
PKCA,0.3153235640979264,Pos30m_PosCTL,TRUE
PKCD,0.783177517042138,Pos30m_PosCTL,TRUE
PKCH,0.21634587491477147,Pos30m_PosCTL,TRUE
PKCI,0.5576754501324346,Pos30m_PosCTL,TRUE
PKD,0.697654005147708,Pos30m_PosCTL,TRUE
PKG,0.5973016851845617,Pos30m_PosCTL,TRUE
PKN,0.19379325951951315,Pos30m_PosCTL,FALSE
PLK,0.21436205985484177,Pos30m_PosCTL,TRUE
PRKDC,0.2269416542930089,Pos30m_PosCTL,TRUE
QIK,0.28119351514782825,Pos30m_PosCTL,TRUE
RAD53,0.4041863239207957,Pos30m_PosCTL,TRUE
RAF,0.21320678414253658,Pos30m_PosCTL,TRUE
RIPK,0.5804513274459892,Pos30m_PosCTL,TRUE
RSK,0.4041863239207957,Pos30m_PosCTL,TRUE
SGK,0.353066604075158,Pos30m_PosCTL,TRUE
SLK,0.6364728061561689,Pos30m_PosCTL,TRUE
STE11,0.3291133431924583,Pos30m_PosCTL,TRUE
STE7,0.2627696919937176,Pos30m_PosCTL,TRUE
STKR,0.49329443702417414,Pos30m_PosCTL,TRUE
SYK,0.3449703926220293,Pos30m_PosCTL,TRUE
TAO,0.5715263293543881,Pos30m_PosCTL,TRUE
TEC,0.3449703926220293,Pos30m_PosCTL,TRUE
VEGFR,0.3449703926220293,Pos30m_PosCTL,TRUE
VRK1,0.19250058832666755,Pos30m_PosCTL,FALSE
VRK2,0.2941841211268185,Pos30m_PosCTL,TRUE
AKT,0.2853051975724311,Pos5m_PosCTL,TRUE
AMPK,0.5405346607756663,Pos5m_PosCTL,TRUE
ATM,0.7793556436676136,Pos5m_PosCTL,TRUE
ATR,0.19148984498968719,Pos5m_PosCTL,FALSE
AUR,0.19130613461595186,Pos5m_PosCTL,FALSE
AXL,0.05453541860187849,Pos5m_PosCTL,FALSE
BARK1,0.21202994684517526,Pos5m_PosCTL,TRUE
BARK2,0.12172460714892624,Pos5m_PosCTL,FALSE
BRSK,0.24031057734528097,Pos5m_PosCTL,TRUE
CAMK1,0.6683340303439707,Pos5m_PosCTL,TRUE
CAMK2,0.4713899184126539,Pos5m_PosCTL,TRUE
CDK,0.17753593439694876,Pos5m_PosCTL,FALSE
CHK1,0.3246720303901135,Pos5m_PosCTL,TRUE
CK1,0.24576184065311768,Pos5m_PosCTL,TRUE
CK2,0.49120240732966824,Pos5m_PosCTL,TRUE
COT,0.23522898618339175,Pos5m_PosCTL,TRUE
CSK,0.05453541860187849,Pos5m_PosCTL,FALSE
DAPK,0.17759153245048093,Pos5m_PosCTL,FALSE
DMPK,0.24031057734528097,Pos5m_PosCTL,TRUE
DYRK,0.14109681611788877,Pos5m_PosCTL,FALSE
EGFR,0.05453541860187849,Pos5m_PosCTL,FALSE
ERK,0.14482946275064323,Pos5m_PosCTL,FALSE
FRAY,0.13050011765146033,Pos5m_PosCTL,FALSE
GRK,0.5386837568894584,Pos5m_PosCTL,TRUE
GSK,0.14521214930703716,Pos5m_PosCTL,FALSE
HAL,0.6449013955326168,Pos5m_PosCTL,TRUE
IKK,0.28410767254385344,Pos5m_PosCTL,TRUE
IRAK,0.1774803363434166,Pos5m_PosCTL,FALSE
JNK,0.14444677619424934,Pos5m_PosCTL,FALSE
KHS,0.2004590589988015,Pos5m_PosCTL,TRUE
LKB,0.1882562858243698,Pos5m_PosCTL,FALSE
MAPKAPK,0.23195570601841498,Pos5m_PosCTL,TRUE
MARK,0.24031057734528097,Pos5m_PosCTL,TRUE
MELK,0.223600834691549,Pos5m_PosCTL,TRUE
MLCK,0.12182637897067217,Pos5m_PosCTL,FALSE
MLK,0.3221312348091689,Pos5m_PosCTL,TRUE
MSN,0.3660880042233271,Pos5m_PosCTL,TRUE
MST,0.18286831108389318,Pos5m_PosCTL,FALSE
MTOR,0.14521214930703716,Pos5m_PosCTL,FALSE
NAK,0.409033483434946,Pos5m_PosCTL,TRUE
NDR,0.4388864771117088,Pos5m_PosCTL,TRUE
NEK,0.27194692786790114,Pos5m_PosCTL,TRUE
NMO,0.4927292403940203,Pos5m_PosCTL,TRUE
P38,0.17227129651726347,Pos5m_PosCTL,FALSE
PAKA,0.6683340303439707,Pos5m_PosCTL,TRUE
PAKB,0.32125679013935454,Pos5m_PosCTL,TRUE
PASK,0.8737327732087928,Pos5m_PosCTL,TRUE
PDGFR,0.05453541860187849,Pos5m_PosCTL,FALSE
PDHK,0.40815903876513165,Pos5m_PosCTL,TRUE
PDK1,0.17759153245048093,Pos5m_PosCTL,FALSE
PEK,0.223600834691549,Pos5m_PosCTL,TRUE
PHK,0.23776978176433636,Pos5m_PosCTL,TRUE
PIM,0.2792297973596372,Pos5m_PosCTL,TRUE
PKA,0.45886622244838315,Pos5m_PosCTL,TRUE
PKCA,0.23776978176433636,Pos5m_PosCTL,TRUE
PKCD,0.7627525460302866,Pos5m_PosCTL,TRUE
PKCH,0.15681446493258674,Pos5m_PosCTL,FALSE
PKCI,0.537809312219644,Pos5m_PosCTL,TRUE
PKD,0.6683340303439707,Pos5m_PosCTL,TRUE
PKG,0.5473229681609707,Pos5m_PosCTL,TRUE
PKN,0.1347743135002319,Pos5m_PosCTL,FALSE
PLK,0.1819758158195655,Pos5m_PosCTL,FALSE
PRKDC,0.15970695667371715,Pos5m_PosCTL,FALSE
QIK,0.22941491043747037,Pos5m_PosCTL,TRUE
RAD53,0.3456961333195854,Pos5m_PosCTL,TRUE
RAF,0.1601249926250971,Pos5m_PosCTL,FALSE
RIPK,0.5337463533903618,Pos5m_PosCTL,TRUE
RSK,0.3850524780456688,Pos5m_PosCTL,TRUE
SGK,0.25157591639903903,Pos5m_PosCTL,TRUE
SLK,0.274351922175421,Pos5m_PosCTL,TRUE
STE11,0.27194692786790114,Pos5m_PosCTL,TRUE
STE7,0.26618503397562127,Pos5m_PosCTL,TRUE
STKR,0.409033483434946,Pos5m_PosCTL,TRUE
SYK,0.05453541860187849,Pos5m_PosCTL,FALSE
TAO,0.4578240862712333,Pos5m_PosCTL,TRUE
TEC,0.05453541860187849,Pos5m_PosCTL,FALSE
VEGFR,0.05453541860187849,Pos5m_PosCTL,FALSE
VRK1,0.14444677619424934,Pos5m_PosCTL,FALSE
VRK2,0.21202994684517526,Pos5m_PosCTL,TRUE
AKT,0.20579436236804405,Pos1h_PosCTL,TRUE
AMPK,0.28272837641137877,Pos1h_PosCTL,TRUE
ATM,0.3954376081623845,Pos1h_PosCTL,TRUE
ATR,0.09435542714087486,Pos1h_PosCTL,FALSE
AUR,0.1808113747498082,Pos1h_PosCTL,FALSE
AXL,-0.36049252681144334,Pos1h_PosCTL,TRUE
BARK1,0.07594260934526739,Pos1h_PosCTL,FALSE
BARK2,-0.22606451799279856,Pos1h_PosCTL,TRUE
BRSK,-0.2666869762733966,Pos1h_PosCTL,TRUE
CAMK1,0.28272837641137877,Pos1h_PosCTL,TRUE
CAMK2,0.27286354850873656,Pos1h_PosCTL,TRUE
CDK,0.03591194402200325,Pos1h_PosCTL,FALSE
CHK1,0.27006543543373907,Pos1h_PosCTL,TRUE
CK1,0.1931429941781591,Pos1h_PosCTL,FALSE
CK2,0.33689460207150645,Pos1h_PosCTL,TRUE
COT,-0.06336975861523117,Pos1h_PosCTL,FALSE
CSK,-0.36049252681144334,Pos1h_PosCTL,TRUE
DAPK,0.11294805427870018,Pos1h_PosCTL,FALSE
DMPK,0.1401959928798527,Pos1h_PosCTL,FALSE
DYRK,-0.03489100385630668,Pos1h_PosCTL,FALSE
EGFR,-0.36049252681144334,Pos1h_PosCTL,TRUE
ERK,-0.032928762667478864,Pos1h_PosCTL,FALSE
FRAY,-0.03489100385630668,Pos1h_PosCTL,FALSE
GRK,0.27006543543373907,Pos1h_PosCTL,TRUE
GSK,0.023477349200037814,Pos1h_PosCTL,FALSE
HAL,0.3253301229707146,Pos1h_PosCTL,TRUE
IKK,0.26340047843362785,Pos1h_PosCTL,TRUE
IRAK,0.1931429941781591,Pos1h_PosCTL,FALSE
JNK,-0.03187811192565644,Pos1h_PosCTL,FALSE
KHS,0.25953363450851413,Pos1h_PosCTL,TRUE
LKB,-0.03699230533995153,Pos1h_PosCTL,FALSE
MAPKAPK,0.08315397139481744,Pos1h_PosCTL,FALSE
MARK,0.11533420725675397,Pos1h_PosCTL,FALSE
MELK,0.03462869152621135,Pos1h_PosCTL,FALSE
MLCK,-0.04252558526610113,Pos1h_PosCTL,FALSE
MLK,0.08514901824307113,Pos1h_PosCTL,FALSE
MOS,-0.11899827853053029,Pos1h_PosCTL,FALSE
MSN,0.006286425365018111,Pos1h_PosCTL,FALSE
MST,0.022731240906386077,Pos1h_PosCTL,FALSE
MTOR,-0.03489100385630668,Pos1h_PosCTL,FALSE
NAK,0.27286354850873656,Pos1h_PosCTL,TRUE
NDR,0.5162937231844479,Pos1h_PosCTL,TRUE
NEK,0.08315397139481744,Pos1h_PosCTL,FALSE
NMO,0.03409930963629589,Pos1h_PosCTL,FALSE
P38,-0.0288652199950062,Pos1h_PosCTL,FALSE
PAKA,0.342528987921218,Pos1h_PosCTL,TRUE
PAKB,0.08640154296442257,Pos1h_PosCTL,FALSE
PASK,0.41078502909481135,Pos1h_PosCTL,TRUE
PDGFR,-0.36049252681144334,Pos1h_PosCTL,TRUE
PDHK,0.26744532364067775,Pos1h_PosCTL,TRUE
PDK1,0.02375175889906048,Pos1h_PosCTL,FALSE
PEK,0.08315397139481744,Pos1h_PosCTL,FALSE
PHK,0.12094280591416699,Pos1h_PosCTL,FALSE
PIM,0.1252704616458306,Pos1h_PosCTL,FALSE
PKA,0.3116860486885618,Pos1h_PosCTL,TRUE
PKCA,0.1315406814165255,Pos1h_PosCTL,FALSE
PKCD,0.38440476765812936,Pos1h_PosCTL,TRUE
PKCH,-0.010712585173201426,Pos1h_PosCTL,FALSE
PKCI,0.20373165761929712,Pos1h_PosCTL,TRUE
PKD,0.28272837641137877,Pos1h_PosCTL,TRUE
PKG,0.342528987921218,Pos1h_PosCTL,TRUE
PKN,0.1315406814165255,Pos1h_PosCTL,FALSE
PLK,0.031668218433560824,Pos1h_PosCTL,FALSE
PRKDC,-0.00633771157027347,Pos1h_PosCTL,FALSE
QIK,0.08514901824307113,Pos1h_PosCTL,FALSE
RAD53,0.26340047843362785,Pos1h_PosCTL,TRUE
RAF,0.032048352568376785,Pos1h_PosCTL,FALSE
RIPK,0.28272837641137877,Pos1h_PosCTL,TRUE
RSK,0.26726732235874157,Pos1h_PosCTL,TRUE
SGK,0.0445287474436767,Pos1h_PosCTL,FALSE
SLK,-0.2198851713774048,Pos1h_PosCTL,TRUE
STE11,-0.09219229643520332,Pos1h_PosCTL,FALSE
STE7,0.14374921065951698,Pos1h_PosCTL,FALSE
STKR,0.27286354850873656,Pos1h_PosCTL,TRUE
SYK,-0.36049252681144334,Pos1h_PosCTL,TRUE
TAO,0.07594260934526739,Pos1h_PosCTL,FALSE
TEC,-0.36049252681144334,Pos1h_PosCTL,TRUE
VEGFR,-0.36049252681144334,Pos1h_PosCTL,TRUE
VRK1,-0.03699230533995153,Pos1h_PosCTL,FALSE
VRK2,0.07594260934526739,Pos1h_PosCTL,FALSE
AKT,-0.01852918243412027,Pos24h_PosCTL,FALSE
AMPK,0.00186152534004719,Pos24h_PosCTL,FALSE
ATM,0.14798602178108786,Pos24h_PosCTL,FALSE
ATR,-0.01852918243412027,Pos24h_PosCTL,FALSE
AUR,0.08569045927236077,Pos24h_PosCTL,FALSE
AXL,-0.11088716091607465,Pos24h_PosCTL,FALSE
BARK1,-0.03807554106350016,Pos24h_PosCTL,FALSE
BARK2,-0.10354680547877279,Pos24h_PosCTL,FALSE
BRSK,-0.20130022457170385,Pos24h_PosCTL,TRUE
CAMK1,-0.06605507463888274,Pos24h_PosCTL,FALSE
CAMK2,-0.08939978769669979,Pos24h_PosCTL,FALSE
CDK,-0.0727197262779035,Pos24h_PosCTL,FALSE
CHK1,-0.08898189398852821,Pos24h_PosCTL,FALSE
CK1,-0.06605507463888274,Pos24h_PosCTL,FALSE
CK2,-0.09485605030055844,Pos24h_PosCTL,FALSE
COT,-0.05852632140417846,Pos24h_PosCTL,FALSE
CSK,-0.11088716091607465,Pos24h_PosCTL,FALSE
DAPK,0.0340812083126741,Pos24h_PosCTL,FALSE
DMPK,-0.0191546226025269,Pos24h_PosCTL,FALSE
DYRK,-0.12914111590594413,Pos24h_PosCTL,FALSE
EGFR,-0.11088716091607465,Pos24h_PosCTL,FALSE
ERK,-0.12530494585622934,Pos24h_PosCTL,FALSE
FRAY,0.0799325219915108,Pos24h_PosCTL,FALSE
GRK,-0.15565221005725477,Pos24h_PosCTL,FALSE
GSK,-0.12530494585622934,Pos24h_PosCTL,FALSE
HAL,-0.1765203936299947,Pos24h_PosCTL,FALSE
IKK,-0.08898189398852821,Pos24h_PosCTL,FALSE
IRAK,-0.12914111590594413,Pos24h_PosCTL,FALSE
JNK,-0.08898189398852821,Pos24h_PosCTL,FALSE
KHS,-0.08856400028035664,Pos24h_PosCTL,FALSE
LKB,-0.14354204268858664,Pos24h_PosCTL,FALSE
MAPKAPK,-0.03421033025250282,Pos24h_PosCTL,FALSE
MARK,-0.13276892689319952,Pos24h_PosCTL,FALSE
MELK,-0.01615773760876197,Pos24h_PosCTL,FALSE
MLCK,-0.12914111590594413,Pos24h_PosCTL,FALSE
MLK,0.01892719536923574,Pos24h_PosCTL,FALSE
MOS,-0.1769738535060424,Pos24h_PosCTL,FALSE
MSN,-0.06722932414426423,Pos24h_PosCTL,FALSE
MST,-0.11061902033275187,Pos24h_PosCTL,FALSE
MTOR,-0.07903048772171524,Pos24h_PosCTL,FALSE
NAK,-0.2654759700240928,Pos24h_PosCTL,TRUE
NDR,0.08108369152275388,Pos24h_PosCTL,FALSE
NEK,-0.09280311886908535,Pos24h_PosCTL,FALSE
NMO,-0.14736907604042937,Pos24h_PosCTL,FALSE
P38,-0.09245462839171736,Pos24h_PosCTL,FALSE
PAKA,0.022090057319750812,Pos24h_PosCTL,FALSE
PAKB,0.058024539972760955,Pos24h_PosCTL,FALSE
PASK,0.06202457349598885,Pos24h_PosCTL,FALSE
PDGFR,-0.11088716091607465,Pos24h_PosCTL,FALSE
PDHK,-0.02120287876580177,Pos24h_PosCTL,FALSE
PDK1,-0.07233033573163392,Pos24h_PosCTL,FALSE
PEK,-0.0736993733018078,Pos24h_PosCTL,FALSE
PHK,-0.007148106134357389,Pos24h_PosCTL,FALSE
PIM,-0.02238860117848092,Pos24h_PosCTL,FALSE
PKA,-0.01615773760876197,Pos24h_PosCTL,FALSE
PKCA,-0.03807554106350016,Pos24h_PosCTL,FALSE
PKCD,0.08050810675713234,Pos24h_PosCTL,FALSE
PKCH,0.08369868910156979,Pos24h_PosCTL,FALSE
PKCI,0.04249878695850902,Pos24h_PosCTL,FALSE
PKD,0.00965633943463887,Pos24h_PosCTL,FALSE
PKG,-0.02238860117848092,Pos24h_PosCTL,FALSE
PKN,0.06100463769225654,Pos24h_PosCTL,FALSE
PLK,-0.027116639336131065,Pos24h_PosCTL,FALSE
PRKDC,-0.07506841087198168,Pos24h_PosCTL,FALSE
QIK,-0.007148106134357389,Pos24h_PosCTL,FALSE
RAD53,0.01892719536923574,Pos24h_PosCTL,FALSE
RAF,0.00931504536645366,Pos24h_PosCTL,FALSE
RIPK,-0.08939978769669979,Pos24h_PosCTL,FALSE
RSK,-0.02624801992284157,Pos24h_PosCTL,FALSE
SGK,-0.04260484862070482,Pos24h_PosCTL,FALSE
SLK,-0.07593232688435,Pos24h_PosCTL,FALSE
STE11,-0.14354204268858664,Pos24h_PosCTL,FALSE
STE7,-0.09553125017101469,Pos24h_PosCTL,FALSE
STKR,-0.13897843410435673,Pos24h_PosCTL,FALSE
SYK,-0.11088716091607465,Pos24h_PosCTL,FALSE
TAO,-0.21683799394231568,Pos24h_PosCTL,TRUE
TEC,-0.11088716091607465,Pos24h_PosCTL,FALSE
VEGFR,-0.11088716091607465,Pos24h_PosCTL,FALSE
VRK1,-0.13897843410435673,Pos24h_PosCTL,FALSE
VRK2,-0.03807554106350016,Pos24h_PosCTL,FALSE
AKT,0.23802138639178003,Pos4h_PosCTL,TRUE
AMPK,0.3516715580465369,Pos4h_PosCTL,TRUE
ATM,0.5930846444884814,Pos4h_PosCTL,TRUE
ATR,0.08996017736343939,Pos4h_PosCTL,FALSE
AUR,0.22534892361817813,Pos4h_PosCTL,TRUE
AXL,-0.2824976426732566,Pos4h_PosCTL,TRUE
BARK1,0.17896993712879272,Pos4h_PosCTL,FALSE
BARK2,-0.19031397199584615,Pos4h_PosCTL,FALSE
BRSK,0.450529505325442,Pos4h_PosCTL,TRUE
CAMK1,0.4553064511442682,Pos4h_PosCTL,TRUE
CAMK2,0.3433375854057612,Pos4h_PosCTL,TRUE
CDK,0.13059273597533289,Pos4h_PosCTL,FALSE
CHK1,0.347504571726149,Pos4h_PosCTL,TRUE
CK1,0.24722353772456587,Pos4h_PosCTL,TRUE
CK2,0.3433375854057612,Pos4h_PosCTL,TRUE
COT,-0.04691368409404095,Pos4h_PosCTL,FALSE
CSK,-0.2824976426732566,Pos4h_PosCTL,TRUE
DAPK,0.19616389661471492,Pos4h_PosCTL,FALSE
DMPK,0.21853458352464727,Pos4h_PosCTL,TRUE
DYRK,-0.0413458981667425,Pos4h_PosCTL,FALSE
EGFR,-0.2824976426732566,Pos4h_PosCTL,TRUE
ERK,0.02501026393917107,Pos4h_PosCTL,FALSE
FRAY,0.09254498121343988,Pos4h_PosCTL,FALSE
GRK,0.3993220182750147,Pos4h_PosCTL,TRUE
GSK,0.00317808418904443,Pos4h_PosCTL,FALSE
HAL,0.5393890408677617,Pos4h_PosCTL,TRUE
IKK,0.2650177808569837,Pos4h_PosCTL,TRUE
IRAK,0.01013623443491308,Pos4h_PosCTL,FALSE
JNK,0.01340483807345904,Pos4h_PosCTL,FALSE
KHS,0.21126819666598468,Pos4h_PosCTL,TRUE
LKB,0.01013623443491308,Pos4h_PosCTL,FALSE
MAPKAPK,0.22464479152888234,Pos4h_PosCTL,TRUE
MARK,0.33089885099571337,Pos4h_PosCTL,TRUE
MELK,0.1446030870873066,Pos4h_PosCTL,FALSE
MLCK,0.19252935617284123,Pos4h_PosCTL,FALSE
MLK,0.22498124209621934,Pos4h_PosCTL,TRUE
MOS,-0.12522795918963858,Pos4h_PosCTL,FALSE
