Kinase,score,condition
BRSK,0.5175,Neg30m_NegCTL
BRSK,0.5175,Neg30m_NegCTL
BRSK,-0.4491666666666666,Neg4h_NegCTL
BRSK,-0.4491666666666666,Neg4h_NegCTL
BRSK,1.3283333333333334,Neg5m_NegCTL
BRSK,1.3283333333333334,Neg5m_NegCTL
BRSK,-0.9716666666666668,Pos15m_PosCTL
BRSK,-0.9716666666666668,Pos15m_PosCTL
BRSK,0.3341666666666666,Pos1h_PosCTL
BRSK,0.3341666666666666,Pos1h_PosCTL
BRSK,0.4533333333333333,Pos24h_PosCTL
BRSK,0.4533333333333333,Pos24h_PosCTL
BRSK,-0.27499999999999997,Pos30m_PosCTL
BRSK,-0.27499999999999997,Pos30m_PosCTL
BRSK,0.04333333333333335,Pos4h_PosCTL
BRSK,0.04333333333333335,Pos4h_PosCTL
BRSK,-0.00500000000000007,Pos5m_PosCTL
BRSK,-0.00500000000000007,Pos5m_PosCTL
BUD32,-1.0716666666666668,Neg15m_NegCTL
BUD32,-0.735,Neg1h_NegCTL
BUD32,-0.8658333333333333,Neg24h_NegCTL
BUD32,-0.8416666666666667,Neg30m_NegCTL
BUD32,-0.7825,Neg4h_NegCTL
BUD32,-0.9133333333333332,Neg5m_NegCTL
BUD32,-1.0008333333333337,Pos15m_PosCTL
BUD32,-0.7483333333333333,Pos1h_PosCTL
BUD32,-0.4816666666666667,Pos24h_PosCTL
BUD32,-0.9875,Pos30m_PosCTL
BUD32,-0.8275,Pos4h_PosCTL
BUD32,-0.8725,Pos5m_PosCTL
CAMK1,1.2975,Neg15m_NegCTL
CAMK1,1.2975,Neg15m_NegCTL
CAMK1,1.2975,Neg15m_NegCTL
CAMK1,1.2975,Neg15m_NegCTL
CAMK1,1.2975,Neg15m_NegCTL
CAMK1,1.7733333333333332,Neg1h_NegCTL
CAMK1,1.7733333333333332,Neg1h_NegCTL
CAMK1,1.7733333333333332,Neg1h_NegCTL
CAMK1,1.7733333333333332,Neg1h_NegCTL
CAMK1,1.7733333333333332,Neg1h_NegCTL
CAMK1,1.0666666666666669,Neg24h_NegCTL
CAMK1,1.0666666666666669,Neg24h_NegCTL
CAMK1,1.0666666666666669,Neg24h_NegCTL
CAMK1,1.0666666666666669,Neg24h_NegCTL
CAMK1,1.0666666666666669,Neg24h_NegCTL
CAMK1,1.6283333333333334,Neg30m_NegCTL
CAMK1,1.6283333333333334,Neg30m_NegCTL
CAMK1,1.6283333333333334,Neg30m_NegCTL
CAMK1,1.6283333333333334,Neg30m_NegCTL
CAMK1,1.6283333333333334,Neg30m_NegCTL
CAMK1,0.7374999999999999,Neg4h_NegCTL
CAMK1,0.7374999999999999,Neg4h_NegCTL
CAMK1,0.7374999999999999,Neg4h_NegCTL
CAMK1,0.7374999999999999,Neg4h_NegCTL
CAMK1,0.7374999999999999,Neg4h_NegCTL
CAMK1,1.5016666666666667,Neg5m_NegCTL
CAMK1,1.5016666666666667,Neg5m_NegCTL
CAMK1,1.5016666666666667,Neg5m_NegCTL
CAMK1,1.5016666666666667,Neg5m_NegCTL
CAMK1,1.5016666666666667,Neg5m_NegCTL
CAMK1,2.42,Pos15m_PosCTL
CAMK1,2.42,Pos15m_PosCTL
CAMK1,2.42,Pos15m_PosCTL
CAMK1,2.42,Pos15m_PosCTL
CAMK1,2.42,Pos15m_PosCTL
CAMK1,1.893333333333333,Pos1h_PosCTL
CAMK1,1.893333333333333,Pos1h_PosCTL
CAMK1,1.893333333333333,Pos1h_PosCTL
CAMK1,1.893333333333333,Pos1h_PosCTL
CAMK1,1.893333333333333,Pos1h_PosCTL
CAMK1,0.1783333333333333,Pos24h_PosCTL
CAMK1,0.1783333333333333,Pos24h_PosCTL
CAMK1,0.1783333333333333,Pos24h_PosCTL
CAMK1,0.1783333333333333,Pos24h_PosCTL
CAMK1,0.1783333333333333,Pos24h_PosCTL
CAMK1,2.3716666666666666,Pos30m_PosCTL
CAMK1,2.3716666666666666,Pos30m_PosCTL
