Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
DMPK,-0.6308333333333334,52,KRSA,0.337851929092805,2,AGC,DMPK,GEK,CDC42BPG
DMPK,-0.6308333333333334,52,KRSA,0.337851929092805,2,AGC,DMPK,CRIK,CIT
DMPK,-0.6308333333333334,52,KRSA,0.337851929092805,2,AGC,DMPK,GEK,DMPK
DMPK,-0.6308333333333334,52,KRSA,0.337851929092805,2,AGC,DMPK,ROCK,ROCK1
DMPK,-0.6308333333333334,52,KRSA,0.337851929092805,2,AGC,DMPK,ROCK,ROCK2
CK1,-1.3091666666666666,23,KRSA,0.7132429614181439,3,CK1,CK1,CK1-A,CSNK1A1
CK1,-1.3091666666666666,23,KRSA,0.7132429614181439,3,CK1,CK1,CK1-A,CSNK1A1L
CK1,-1.3091666666666666,23,KRSA,0.7132429614181439,3,CK1,CK1,CK1-D,CSNK1D
CK1,-1.3091666666666666,23,KRSA,0.7132429614181439,3,CK1,CK1,CK1-D,CSNK1E
CK1,-1.3091666666666666,23,KRSA,0.7132429614181439,3,CK1,CK1,CK1-G,CSNK1G1
CK1,-1.3091666666666666,23,KRSA,0.7132429614181439,3,CK1,CK1,CK1-G,CSNK1G2
CK1,-1.3091666666666666,23,KRSA,0.7132429614181439,3,CK1,CK1,CK1-G,CSNK1G3
CK1,-1.3091666666666666,23,KRSA,0.7132429614181439,3,CK1,TTBK,TTBK,TTBK1
CK1,-1.3091666666666666,23,KRSA,0.7132429614181439,3,CK1,TTBK,TTBK,TTBK2
CK1,-1.3091666666666666,23,KRSA,0.7132429614181439,3,CK1,VRK,VRK,VRK3
PAKB,-0.8191666666666666,46,KRSA,0.4129301355578728,2,STE,STE20,PAKB,PAK4
PAKB,-0.8191666666666666,46,KRSA,0.4129301355578728,2,STE,STE20,PAKB,PAK5
PAKB,-0.8191666666666666,46,KRSA,0.4129301355578728,2,STE,STE20,PAKB,PAK6
NAK,-0.205,69,KRSA,0.1251303441084463,1,OTHER,NAK,BIKE,AAK1
NAK,-0.205,69,KRSA,0.1251303441084463,1,OTHER,NAK,BIKE,BMP2K
NAK,-0.205,69,KRSA,0.1251303441084463,1,OTHER,NAK,GAK,GAK
NAK,-0.205,69,KRSA,0.1251303441084463,1,OTHER,NAK,MPSK,STK16
HAL,0.8033333333333333,47,KRSA,0.40041710114702816,2,RGC,RGC,RGC,NPR1
BARK2,-0.3383333333333333,61,KRSA,0.22523461939520334,1,AGC,GRK,BARK,GRK3
STKR,-0.06833333333333336,76,KRSA,0.03753910323253389,1,TKL,STKR,TYPE1,ACVR1
STKR,-0.06833333333333336,76,KRSA,0.03753910323253389,1,TKL,STKR,TYPE1,ACVR1B
STKR,-0.06833333333333336,76,KRSA,0.03753910323253389,1,TKL,STKR,TYPE1,ACVR1C
STKR,-0.06833333333333336,76,KRSA,0.03753910323253389,1,TKL,STKR,TYPE2,ACVR2A
STKR,-0.06833333333333336,76,KRSA,0.03753910323253389,1,TKL,STKR,TYPE2,ACVR2B
STKR,-0.06833333333333336,76,KRSA,0.03753910323253389,1,TKL,STKR,TYPE1,ACVRL1
STKR,-0.06833333333333336,76,KRSA,0.03753910323253389,1,TKL,STKR,TYPE2,AMHR2
STKR,-0.06833333333333336,76,KRSA,0.03753910323253389,1,TKL,STKR,TYPE1,BMPR1A
STKR,-0.06833333333333336,76,KRSA,0.03753910323253389,1,TKL,STKR,TYPE1,BMPR1B
STKR,-0.06833333333333336,76,KRSA,0.03753910323253389,1,TKL,STKR,TYPE2,BMPR2
STKR,-0.06833333333333336,76,KRSA,0.03753910323253389,1,TKL,STKR,TYPE1,TGFBR1
