Kinase,Peptide,LFC
PLK,H2B1B_ 27_40,-0.05838698897843297
QIK,H2B1B_ 27_40,-0.05838698897843297
RAD53,H2B1B_ 27_40,-0.05838698897843297
RSK,H2B1B_ 27_40,-0.05838698897843297
SGK,H2B1B_ 27_40,-0.05838698897843297
VRK2,H2B1B_ 27_40,-0.05838698897843297
AMPK,H32_3_18,-0.02966587048967669
ATR,H32_3_18,-0.02966587048967669
AUR,H32_3_18,-0.02966587048967669
BARK1,H32_3_18,-0.02966587048967669
DAPK,H32_3_18,-0.02966587048967669
DMPK,H32_3_18,-0.02966587048967669
DYRK,H32_3_18,-0.02966587048967669
MLK,H32_3_18,-0.02966587048967669
MST,H32_3_18,-0.02966587048967669
MTOR,H32_3_18,-0.02966587048967669
PHK,H32_3_18,-0.02966587048967669
PIM,H32_3_18,-0.02966587048967669
PKCA,H32_3_18,-0.02966587048967669
PKCD,H32_3_18,-0.02966587048967669
PRKDC,H32_3_18,-0.02966587048967669
QIK,H32_3_18,-0.02966587048967669
RAD53,H32_3_18,-0.02966587048967669
RSK,H32_3_18,-0.02966587048967669
STE7,H32_3_18,-0.02966587048967669
VRK1,H32_3_18,-0.02966587048967669
