Kinase,Peptide,LFC
VRK2,ERF_519_531,0.24602179233063587
AKT,ESR1_160_172,0.4545939964245526
AUR,ESR1_160_172,0.4545939964245526
BARK1,ESR1_160_172,0.4545939964245526
CK2,ESR1_160_172,0.4545939964245526
DMPK,ESR1_160_172,0.4545939964245526
IKK,ESR1_160_172,0.4545939964245526
PEK,ESR1_160_172,0.4545939964245526
PHK,ESR1_160_172,0.4545939964245526
PIM,ESR1_160_172,0.4545939964245526
PKCA,ESR1_160_172,0.4545939964245526
RSK,ESR1_160_172,0.4545939964245526
STE11,ESR1_160_172,0.4545939964245526
STE7,ESR1_160_172,0.4545939964245526
VRK2,ESR1_160_172,0.4545939964245526
BARK1,FIBA_569_581,0.01652594652777495
CDK,FIBA_569_581,0.01652594652777495
CK1,FIBA_569_581,0.01652594652777495
DAPK,FIBA_569_581,0.01652594652777495
DMPK,FIBA_569_581,0.01652594652777495
ERK,FIBA_569_581,0.01652594652777495
GSK,FIBA_569_581,0.01652594652777495
HAL,FIBA_569_581,0.01652594652777495
IKK,FIBA_569_581,0.01652594652777495
JNK,FIBA_569_581,0.01652594652777495
MLCK,FIBA_569_581,0.01652594652777495
MST,FIBA_569_581,0.01652594652777495
PDHK,FIBA_569_581,0.01652594652777495
PEK,FIBA_569_581,0.01652594652777495
PHK,FIBA_569_581,0.01652594652777495
PIM,FIBA_569_581,0.01652594652777495
PKA,FIBA_569_581,0.01652594652777495
PKCA,FIBA_569_581,0.01652594652777495
PKG,FIBA_569_581,0.01652594652777495
PLK,FIBA_569_581,0.01652594652777495
QIK,FIBA_569_581,0.01652594652777495
RAF,FIBA_569_581,0.01652594652777495
RIPK,FIBA_569_581,0.01652594652777495
RSK,FIBA_569_581,0.01652594652777495
SGK,FIBA_569_581,0.01652594652777495
STE7,FIBA_569_581,0.01652594652777495
VRK2,FIBA_569_581,0.01652594652777495
AKT,FOXO3_25_37,0.16507844362177335
BARK1,FOXO3_25_37,0.16507844362177335
CDK,FOXO3_25_37,0.16507844362177335
ERK,FOXO3_25_37,0.16507844362177335
MAPKAPK,FOXO3_25_37,0.16507844362177335
P38,FOXO3_25_37,0.16507844362177335
PHK,FOXO3_25_37,0.16507844362177335
PIM,FOXO3_25_37,0.16507844362177335
PKCA,FOXO3_25_37,0.16507844362177335
QIK,FOXO3_25_37,0.16507844362177335
RAF,FOXO3_25_37,0.16507844362177335
RSK,FOXO3_25_37,0.16507844362177335
SGK,FOXO3_25_37,0.16507844362177335
VRK2,FOXO3_25_37,0.16507844362177335
AKT,FRAP_2443_2455,0.19459787851864735
AMPK,FRAP_2443_2455,0.19459787851864735
BARK1,FRAP_2443_2455,0.19459787851864735
CK1,FRAP_2443_2455,0.19459787851864735
DAPK,FRAP_2443_2455,0.19459787851864735
DMPK,FRAP_2443_2455,0.19459787851864735
MAPKAPK,FRAP_2443_2455,0.19459787851864735
MELK,FRAP_2443_2455,0.19459787851864735
MLK,FRAP_2443_2455,0.19459787851864735
MSN,FRAP_2443_2455,0.19459787851864735
MTOR,FRAP_2443_2455,0.19459787851864735
NEK,FRAP_2443_2455,0.19459787851864735
PDHK,FRAP_2443_2455,0.19459787851864735
PDK1,FRAP_2443_2455,0.19459787851864735
PEK,FRAP_2443_2455,0.19459787851864735
PHK,FRAP_2443_2455,0.19459787851864735
PIM,FRAP_2443_2455,0.19459787851864735
PKA,FRAP_2443_2455,0.19459787851864735
PKCA,FRAP_2443_2455,0.19459787851864735
QIK,FRAP_2443_2455,0.19459787851864735
RSK,FRAP_2443_2455,0.19459787851864735
SGK,FRAP_2443_2455,0.19459787851864735
TAO,FRAP_2443_2455,0.19459787851864735
VRK2,FRAP_2443_2455,0.19459787851864735
AKT,GPR6_349_361,0.32242243002872445
BARK1,GPR6_349_361,0.32242243002872445
CDK,GPR6_349_361,0.32242243002872445
CK1,GPR6_349_361,0.32242243002872445
DMPK,GPR6_349_361,0.32242243002872445
DYRK,GPR6_349_361,0.32242243002872445
ERK,GPR6_349_361,0.32242243002872445
IKK,GPR6_349_361,0.32242243002872445
JNK,GPR6_349_361,0.32242243002872445
MAPKAPK,GPR6_349_361,0.32242243002872445
MELK,GPR6_349_361,0.32242243002872445
P38,GPR6_349_361,0.32242243002872445
PDK1,GPR6_349_361,0.32242243002872445
PEK,GPR6_349_361,0.32242243002872445
PHK,GPR6_349_361,0.32242243002872445
PKCA,GPR6_349_361,0.32242243002872445
QIK,GPR6_349_361,0.32242243002872445
RAF,GPR6_349_361,0.32242243002872445
RSK,GPR6_349_361,0.32242243002872445
SGK,GPR6_349_361,0.32242243002872445
VRK2,GPR6_349_361,0.32242243002872445
AMPK,GPSM2_394_406,0.6122487879996656
BARK1,GPSM2_394_406,0.6122487879996656
CAMK1,GPSM2_394_406,0.6122487879996656
CHK1,GPSM2_394_406,0.6122487879996656
DMPK,GPSM2_394_406,0.6122487879996656
IKK,GPSM2_394_406,0.6122487879996656
MAPKAPK,GPSM2_394_406,0.6122487879996656
MARK,GPSM2_394_406,0.6122487879996656
PHK,GPSM2_394_406,0.6122487879996656
PKCA,GPSM2_394_406,0.6122487879996656
PKD,GPSM2_394_406,0.6122487879996656
VRK2,GPSM2_394_406,0.6122487879996656
BARK1,GSUB_61_73,0.2292523625597589
CDK,GSUB_61_73,0.2292523625597589
DAPK,GSUB_61_73,0.2292523625597589
DMPK,GSUB_61_73,0.2292523625597589
